"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","Absolute score (sig.score)"
"TCGA.05.4420.01",0,0,0.0805299638349594,0.0371416102536342,0,0.037512860184523,0,0,0.0175535555948636,0,0,0,0.0162230796750656,0,0.00436517486243232,0.0879717524729242,0,0,0,0.0214671865567941,0,0.0468635683298865,9999,0.179801316794263,1.00689537282232,0.349628751765083
"TCGA.R6.A8WC.01",0.00999861431382054,0,0,0.012147975271818,0,0.0421118610997469,0,0,0.0132013737923113,0,0,0.00749884565083898,0.00185677239137112,0.00407123759725322,0.00999563757497367,0.0195706303032272,0,0,0,0.00642600825313099,0,0,9999,0.0117245621254336,1.10324096575695,0.126878956248492
"TCGA.DX.A3U8.01",0.00445054378537395,0,0,0.0334294919764781,0,0.0686219201844255,0,0.00860167295445162,0.0196126810542657,0,0.0022370409024433,0.00143053263608661,0.0669366287884459,0,0.0317149947147006,0.28510660966646,0,0,0.0153411024870319,0,0,0.00294467163849878,9999,0.300564474890934,0.974769902185574,0.540427890788662
"TCGA.GL.8500.01",0.000929984624778556,0,0.00158320217867665,0.0277095405930383,0,0.015362768432705,0,0.00098584598633566,0.00168454582880737,0,0.00540154943859444,0.00258543663933965,0.0040876436547598,0.000770387766229252,0.00190029141914998,0.0475521061243172,0,0,0.0105589372401636,0.00196738267354133,0,0.00191986748785406,9999,0.024420360719773,1.08831006150792,0.124999490088291
"TCGA.E2.A153.11",0.0223594512739924,0,0.0898875830911138,0.051382083794034,0,0.0433451593181127,0,0.00382044957898531,0,0,0.0027901849589949,0.00193379819222144,0.0142057724472482,0.0581956075581865,0.0105317987333263,0.205211753533971,0,0,0.0254760010667947,0,0,0,9999,0.271381306243814,0.975188902677262,0.529139643546981
"TCGA.BR.A4J6.01",0.0111902808500037,0,0.0879224476381577,0.0160251404673024,0,0.0248486398924283,0,0.00745854312525244,0.00130964997289678,0,0,0.00816911363913448,0.00105247037380137,0.00182866654198682,0,0.0179671661332317,0.000234913600682256,0.00156027574995319,0.00558391283672914,0,0,0,9999,0.23867670541795,0.982982103544265,0.18515122082156
"TCGA.EJ.7125.01",0.0174082753191721,0,0.0108866476642631,0.0113832172519821,0,0.0412296880540177,0,0.0158452107580391,0,0.00185120335545444,0,0.0151150174085271,0.00150701194206996,0.00686202797674976,0.0133476343567962,0.0530583344699719,0,0.000381881933513152,0.0235305741016349,0,0,0,9999,0.0680962569574418,1.05297987625807,0.212406724592192
"TCGA.IN.7808.01",0.17439791790258,0.171573927715842,0.00917699720252283,0.079512699088235,0,0.110108035503348,0,0.0177308143062041,0.0532054159827477,0,0,0.0576631595421773,0.00152895893172087,0.0038837828339693,0.0154252192042493,0.0939462629055276,0,0.00302456436650616,0,0.0161686682605897,0,0,9999,0.530934098742737,0.847662229487129,0.80734642374622
"TCGA.L5.A4OH.01",0.0297499289257892,0,0.00284449935454944,0.011598950536521,0,0.0668656474008457,0,0.0113350371018294,0.00695020816983145,0,0.00631517910978702,0.00193825536877628,0.00615126665138364,0,0.0174309152341263,0.0245930205754843,0,0.0247317060689726,0.00566223447601437,0,0,0,9999,-0.0146112539513892,1.10428486478502,0.216166848973911
"TCGA.RP.A695.06",0.000315681160664602,0,0.0237333381705191,0.0388114585701149,0,0,0,0.0133201850377774,0.00417792876883385,0,0,0.00894334781803311,0.000305958071236547,0.00783220751880314,0.00414130619443172,0.0422167520802165,0,0,0,0,0,0,9999,0.063926101508739,1.06448575731414,0.143798163390631
"TCGA.AX.A3G6.01",0,0,0.0103312903158968,0.0190412769950841,0,0.00219673484955753,0,0.00488331305106965,0.00872357069883336,0,0.0016223708371679,0.00292832292781086,0.0117732896123837,0.0478248299351117,0,0.0667174937495287,0,0.0120524422112722,0,0.0290132718522377,0,0,9999,0.341545664505149,0.954580133618917,0.217108207035954
"TCGA.B9.A8YH.01",0.00178094758361184,0,0,0.0221858442430949,0,0.0519989435346441,0,0,0,0,0,0.0012874898612989,0,0,0.00028446632982984,0.28501219088924,0,0,0.0829397360839881,0,0,0,9999,0.394345959257223,0.931345990330486,0.445489618525708
"TCGA.E1.A7YI.01",0,0.00192826987084386,0,0.015291251590101,0,0.051468606622189,0,0.01166683924643,0.00646329646284079,0,0,0.00990359606030872,0.0189714371399457,0,0,0.0469941589378184,0,0,0.02208020601139,0,0.00157152011430961,0.00350850277724022,9999,0.0394972174481833,1.07427401308115,0.189847684833417
"TCGA.PC.A5DM.01",0,0,0,0.00174089197045955,0.00521614798240492,0.0283200030393794,0,0,0,0,0.00403771814841794,0.00260991866733353,0.0242339789309434,0.0104926775535169,0,0.0896992737661207,0,0,0,0,0,0,9999,0.31727734397863,0.97368648686127,0.166350610058576
"TCGA.BR.A4QL.01",0,0.0192262718187413,0,0.0133869462229511,0,0.0106222721236357,0.00259870967993039,0.00539046218445717,0.0032942042261497,0,0,0.0184815981405658,0.00265187364443647,0.00480782145875535,0.00237146092214429,0.00661639712068733,0.00128394329945946,0.000633533691524409,0,0.00638172628617918,0,0,9999,0.0579165582634967,1.10001472251524,0.0977472208196177
"TCGA.CH.5751.01",0.0824187513934221,0.020632672147121,0.0141397898799266,0.14148030721906,0,0.143323230876608,0.00617154374298882,0.0219187023140834,0.044996381305572,0,0,0.0117761113724657,0.0330700815916334,0.00812001504807185,0.0699577791144348,0.0770549639894005,0,0,0.0232521831980883,0,0,0,9999,0.369711328566186,0.932767133776562,0.698312513192876
"TCGA.A2.A3XX.01",0.0404447469226622,0,0.0651499294631679,0.0388386653073802,0,0.00763658552046928,0,0.0378526229861551,0.0143318275247116,0,0.00776274344810443,0.00420540732515739,0,0.121184275433014,0.0412244868142937,0.083782507588553,0,0,0.0187859228704509,0,0,0,9999,0.221845283547877,0.997457528005543,0.481199721204119
"TCGA.DQ.5624.01",0.0012652957759705,0,0.0289499869056493,0.019790650509601,0,0.0724628984960002,0,0,0.02884602937354,0,0.011793472620677,0,0.00806058119664176,0.0630098368779687,0,0.0183169157342329,0.0318427218978893,0.0460237308420336,0,0.0452925949538872,0.000786654255583755,0.00231967258213874,9999,0.324079255700687,0.950763438648254,0.378761042021814
"TCGA.KK.A7B3.01",0,0.00117458681935836,0.0352051538392506,0.0545097520200163,0,0.0678567989774591,0,0.017328721667057,0.00408918597834669,0,0,0.0155689011052187,0.0064383400861737,0.0486539195683511,0.0189174577736433,0.0771924379481183,0.00836831991651442,0,0.0272189909832273,0,0,0,9999,0.101049101999429,1.0422784316722,0.382522566682735
"TCGA.DQ.7591.01",0.0268063944736036,0.0102826257935448,0.040532487002848,0.140895364048465,0,0.0826138862568465,0,0.0871632514985485,0.0611003356259609,0,0,0.0401923316665676,0.00604729851995577,0.00600904525390831,0.047288992481266,0.0729694930682674,0.0420987202179927,0.00667090630136862,0.00132233847483776,0,0,0,9999,0.111032892786321,1.05518138238944,0.671993470683981
"TCGA.06.5412.01",0.00163673738749374,7.81012067062392e-05,0.0025635317407005,0.00947842149297117,0,0.0404309671247334,0,0,0.00695938268058959,0,0.0365823429080722,0.000573187394747206,0.0625737192911171,0,0,0.16496840872841,0,0.000724668815820101,0,0.0368418660750066,0.000920371177271384,0.0106621781275468,9999,0.0570423230852945,1.09041359154298,0.374993884151186
"TCGA.BP.4989.01",0.0177253128573324,0,0.0142356814712643,0.282312524075392,0,0,0,0.0308613856417004,0.0343647189968618,0.039089970702554,0,0.0847713546443908,0.00557244418741113,0,0.0183586004326826,0.0956252116979671,0.0036157182083621,0,0,0.0128991165776764,0,0.00717083316829428,9999,0.413315218679932,0.929254170432251,0.646602872661889
"TCGA.EJ.8468.01",0.0218027706161902,0,0.0568067790422634,0.0411964744610608,0,0.0773281017553714,0,0.0163519192986381,0,0,0,0.0250832555400715,0.0101926577174356,0.00684226461568594,0.011490966710488,0.119546099171677,0.00505500762940517,0,0.0580147046932935,0.0185412880658057,0,0.000726944477055526,9999,0.0802671575604288,1.04333385067791,0.468979233794442
