"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","P-value","Correlation","RMSE","Absolute score (sig.score)"
"GTEX.ZA64.1526.SM.5CVMD",0,0.00158383411692282,0.000697393646819092,0.00261206333041306,0,0.0208704967431401,0,0.00170147836082577,0,0,0.0124433710565461,0,0.0107798294114645,0,0.00628383167066582,0.126268003834123,0.000259187595556007,0,0.0547497598939152,0,0,0.000211748955127081,9999,0.21023995180793,1.02170788675221,0.238460998615518
"GTEX.1122O.0426.SM.5H12G",0,0,0.00229535515825921,0.000409528308027012,0,0.0240981763472379,0,0.00782605815857823,0.00337383351378511,0,0.01048267015292,0.00456239212477018,0.0154779755140788,0,0.00343803197307235,0.0667434723737228,0.000154893754170947,0,0.0369629422444182,0,0,0,9999,0.0999318503253464,1.05218445180802,0.175825329623041
"GTEX.1399Q.0005.SM.5NQAG",0,0.0537662415126637,0.0451315914496051,0.142361435966475,0.0401910481589085,0,0.0215460716149829,0,0.0264062269445591,0,0.0140230870593421,0.100987150306769,0.140548682227673,0,0,0.188406953702988,0,0,0.0460620568295413,0,0.00333664381045227,0.0486614012808515,9999,0.086325186909213,1.0575346473102,0.871428590864811
"GTEX.11EI6.0826.SM.5985V",0.0148634764171348,0,0,0.108322904930405,0,0.359727817586803,0,0,0,0,0.162347249628304,0,0.0639590685727581,0.0344866121259865,0.039016581229859,0.274130380258139,0,0,0.0211474715590976,0.0265085844536252,0,0.0306176410918266,9999,0.288678375837494,0.973715050061563,1.13512778785394
"GTEX.11EI6.3126.SM.5H111",0.0186890874698924,0,0.00275011401704367,0.0219712662337857,0,0.0762821304184284,0,0.0337630658486779,0,0,0.0668311630407117,0,0.063782417630033,0,0.0189133551394176,0.178595940317896,0,0,0.00690909169790084,0.0211952088644004,0,0.00131175324414118,9999,0.0778259757260413,1.06155828417525,0.510994593922329
"GTEX.QV44.1726.SM.4R1KG",0.164644176664902,0,0,0,0.00907405499662197,0.02910524695989,0,0.0409676653107749,0,0,0,0.0356417785252155,0.0011179720375125,0,0.0011745776362591,0.0637004853132066,0,0,0.0369893081059232,0,0,0,9999,-0.0193140882014417,1.12036565200965,0.382415265550306
"GTEX.14E7W.0526.SM.5S2W8",0.00796308758579579,0,0.00336990437859246,0.00936609847251042,0,0.0200266755603033,0,0.00658539313244204,0,0,0.000122361870694993,0.00507386110286486,0.0289830451820363,0,0.00104738591042745,0.0792007991610702,0,0,0.0393582970111985,0,0,0,9999,0.0882196878700188,1.05941843010985,0.201096909367936
"GTEX.S341.0326.SM.2XCAU",0.0371939288875384,0,0.0458418075470214,0.0847702728419859,0,0.147870931774505,0,0.00904827618374811,0,0,0.0335398082686237,0.0148629015284382,0.0378649700156666,0.00479503416673408,0,0.233599648282533,0,0.00807315105495455,0.0951726746814274,0.00388234535305216,0,0.0061386504802132,9999,0.352023093639835,0.936980715211508,0.762654401066442
"GTEX.N7MS.2625.SM.3LK77",0.0246644698728495,0,0.00829583458140653,0.106572151218724,0,0.0366367657826327,0,0.0395147463752934,0,0,0.0119991311092258,0.0368483003549711,0.0218939571010702,0,0.0157074462381122,0.128397854393894,0,0,0,0.014525456034235,0,0,9999,0.0736585321730762,1.07420876364624,0.445056113062414
"GTEX.OHPJ.0926.SM.2HMJ1",0.00503774440652683,0,0.00153782105405229,0.00376061298750151,0,0.00591371942482216,0,0.00539640111887357,0,0,0,0.00203952447924419,0.019935442480493,0,0.0104307406275968,0.0299138043463735,0,0,0.0125492166520399,0,0,0.00238499131610864,9999,0.0635256964800894,1.06931265748804,0.0989000188936323
