"","mRNAProportions.Bcells","mRNAProportions.CAFs","mRNAProportions.CD4_Tcells","mRNAProportions.CD8_Tcells","mRNAProportions.Endothelial","mRNAProportions.Macrophages","mRNAProportions.NKcells","mRNAProportions.otherCells","cellFractions.Bcells","cellFractions.CAFs","cellFractions.CD4_Tcells","cellFractions.CD8_Tcells","cellFractions.Endothelial","cellFractions.Macrophages","cellFractions.NKcells","cellFractions.otherCells","fit.gof.convergeCode","fit.gof.convergeMessage","fit.gof.RMSE_weighted","fit.gof.Root_mean_squared_geneExpr_weighted","fit.gof.spearmanR","fit.gof.spearmanP","fit.gof.pearsonR","fit.gof.pearsonP","fit.gof.regline_a_x","fit.gof.regline_b","fit.gof.regline_a_x_through0","fit.gof.sum_mRNAProportions"
"GTEX.POMQ.0006.SM.5SI7D",0.00440555275685304,9.36652847567638e-06,0.00815338590783118,0.0243270380361292,0.00104132962270552,0.0172786986544899,0.00070663244234518,0.94407799605117,0.00444173147278165,9.48122086914668e-06,0.0083534650479771,0.0249240087802579,0.00105408062080794,0.00492822624406437,0.000650850864597277,0.955638155748645,0,"",23.3756341369139,28.2167251450488,0.710666819853717,7.20614977239158e-16,0.449914471753993,4.77919057111219e-06,0.287696305279227,3.67924763158824,0.338371492986779,0.0559220039488298
"GTEX.Y9LG.0426.SM.4VBRT",0.000565175968756251,0.0107837635605293,0.0275300795653355,0.0652508922057934,0.110513859545953,0.0176403188995615,1.39437870922894e-08,0.767715896310284,0.000569499239137374,0.0109097181483118,0.0281899104051489,0.0668148016344073,0.111804663776335,0.00502855965048149,1.28358970174194e-08,0.776682834310281,0,"",100.972606103149,110.567843595053,0.538448617374732,1.82143188504589e-08,0.252732941313021,0.0134743109117203,0.110447781484646,15.0623043138095,0.20912188322543,0.232284103689716
"GTEX.147F4.1226.SM.5NQAY",0.00131576176240983,0.0114209492897423,0.00587164440777173,0.0118113706096864,0.30025600070378,0.0012407600369199,0.000924353276306493,0.667159159913383,0.00131152285149804,0.0114296917214488,0.00594750910402301,0.0119639796543399,0.300485838654551,0.000349875966637367,0.000841729612426208,0.667669852435076,0,"",87.0264013815348,119.097943992658,0.724724455208514,1.02089137738842e-16,0.604659984646459,8.64699873903126e-11,0.411894511290758,10.8682777717054,0.455196237566896,0.332840840086616
"GTEX.QXCU.0626.SM.2TC69",0.00104378395850015,0.0250601633979938,0.119302920838908,0.0243394654538869,0.309908755290654,0.0410375537407499,2.91144539639355e-08,0.479307328204853,0.00106928082585448,0.0257750058371953,0.124196399535693,0.025337803590558,0.318748918343206,0.0118929704295454,2.72474479056711e-08,0.492979594190499,0,"",246.843283225474,270.700032917377,0.67954702932116,3.70348182273506e-14,0.376919367222521,0.000166566963117877,0.163606458224013,32.3289455903093,0.234842820881332,0.520692671795147
"GTEX.1269C.2626.SM.5EQ5C",0.00338473607949362,0.0013158765198844,0.0495808730160771,0.0233107189452285,0.0362902236904311,0.000699294631559413,1.65917883565345e-09,0.885418275458147,0.0033700055780795,0.00131539037383046,0.0501645298917904,0.0235851284213543,0.0362768163921193,0.000196967111739421,1.50915910622369e-09,0.885091160721928,0,"",111.980322500206,112.850463946189,0.23222045373319,0.0235438400813335,0.0313647130208016,0.762855877293835,0.00510788040302376,6.02240425664119,0.029096904008358,0.114581724541853
"GTEX.12WSK.2326.SM.5GCOH",6.20461098336869e-05,0.0307313752286505,0.143214370335706,0.033572579741861,0.0686017326601011,0.00271320835373893,3.5923635122387e-10,0.721104687210872,6.17866647400161e-05,0.0307252838264201,0.144925084190244,0.0339736084735612,0.0685881348063044,0.00076434786043207,3.26810869329269e-10,0.720961753851487,0,"",75.9662073196003,115.347285100088,0.512056162380631,1.13311968691179e-07,0.672851571339082,8.12179759503838e-14,0.533137685898477,10.1495663069818,0.583257567246884,0.278895312789128
"GTEX.P4PQ.0126.SM.2S1NM",0.00486905482527432,0.017442552129496,0.0970586339604932,0.0289048312979634,0.128647686470477,0.00559631468642422,1.18652058077574e-09,0.717480925443351,0.00486185421310985,0.0174864242025893,0.0984845738724658,0.0293294875177633,0.128971265305857,0.00158083705796369,1.08235209812631e-09,0.719285556747899,0,"",99.709046801196,116.317572489827,0.463117694655644,2.29247293819186e-06,0.433396132357504,1.14877593915167e-05,0.249655274551552,14.2732768315409,0.335880331145319,0.282519074556649
"GTEX.ZA64.1526.SM.5CVMD",0.00511700782098434,0.020157068048487,0.041560397902915,0.0421345333883058,0.169830071988829,0.0543111847264678,8.30197238318496e-09,0.666889727822038,0.0052980081528709,0.0209535501709801,0.0437273346895197,0.0443314052902261,0.176540701524605,0.0159079248773801,7.85260670026506e-09,0.693241067441811,0,"",226.529779714477,241.638624579132,0.577940940875548,8.6503392525496e-10,0.211103672793108,0.0400193173105654,0.0713285827661794,28.8662032025496,0.139278907012402,0.333110272177962
"GTEX.1122O.0426.SM.5H12G",0.00173822636071184,0.037802363463452,0.0544141173021781,0.0299352187756128,0.0705718770294385,0.0254777339672651,2.11402124136323e-08,0.780060441961129,0.00176174647213984,0.0384671264361583,0.0560435239497275,0.0308316156462624,0.0718128991895717,0.00730509033192269,1.9574128983368e-08,0.793777978400089,1,"",176.151394698032,204.946105248004,0.580984746388614,6.72406486879688e-10,0.503590454960938,1.97233969129904e-07,0.317599809027718,14.5041170445592,0.367533808738069,0.219939558038871
"GTEX.1399Q.0005.SM.5NQAG",0.0178656384213093,8.98814425644533e-09,0.0471571765375229,0.067617271334637,0.00107029457242107,0.0464295770055486,0.0193677067790146,0.800492326361402,0.0184163622292164,9.30227244935752e-09,0.0493980574659792,0.0708304037758355,0.00110770048072937,0.0135396596911138,0.0182389372885474,0.828468869766306,0,"",67.8107693816132,91.2773895840519,0.802817938297734,1.32593931655628e-22,0.629081554948444,8.66736781704477e-12,0.453642585305037,8.95919939744398,0.498776319160646,0.199507673638598
